iter	Passed	Remaining
0	0	759
1	1	615
2	1	563
3	2	532
4	2	509
5	2	496
6	3	488
7	3	479
8	4	471
9	4	469
10	5	464
11	5	460
12	6	458
13	6	455
14	6	459
15	7	456
16	7	454
17	8	453
18	8	452
19	9	450
20	9	448
21	10	445
22	10	444
23	10	444
24	11	448
25	11	447
26	12	450
27	12	449
28	13	447
29	13	447
30	14	447
31	14	447
32	15	447
33	15	446
34	16	445
35	16	444
36	17	442
37	17	440
38	17	439
39	18	438
40	18	436
41	19	435
42	19	434
43	19	432
44	20	431
45	20	429
46	21	428
47	21	427
48	21	426
49	22	426
50	22	426
51	23	425
52	23	424
53	24	423
54	24	423
55	25	425
56	25	424
57	26	422
58	26	421
59	26	420
60	27	419
61	27	418
62	28	417
63	28	416
64	28	416
65	29	414
66	29	413
67	30	412
68	30	412
69	30	411
70	31	410
71	31	409
72	32	409
73	32	408
74	33	407
75	33	406
76	33	405
77	34	405
78	34	404
79	35	403
80	35	402
81	35	402
82	36	400
83	36	400
84	37	399
85	37	398
86	37	398
87	38	397
88	38	396
89	39	395
90	39	395
91	40	395
92	40	395
93	40	394
94	41	394
95	41	393
96	42	392
97	42	392
98	43	391
99	43	390
100	43	390
101	44	389
102	44	389
103	45	388
104	45	388
105	45	387
106	46	386
107	46	386
108	47	385
109	47	384
110	47	384
111	48	383
112	48	383
113	49	382
114	49	382
115	50	381
116	50	381
117	51	381
118	51	380
119	51	380
120	52	379
121	52	378
122	53	378
123	53	377
124	53	376
125	54	376
126	54	375
127	55	375
128	55	375
129	56	374
130	56	374
131	56	374
132	57	373
133	57	373
134	58	373
135	58	373
136	59	372
137	59	371
138	59	371
139	60	371
140	60	370
141	61	369
142	61	369
143	62	368
144	62	368
145	62	367
146	63	366
147	63	366
148	64	365
149	64	365
150	64	364
151	65	363
152	65	363
153	66	362
154	66	361
155	66	361
156	67	360
157	67	360
158	67	359
159	68	358
160	68	357
161	69	357
162	69	356
163	69	356
164	70	356
165	70	355
166	71	355
167	71	354
168	72	354
169	72	354
170	72	353
171	73	353
172	73	352
173	74	352
174	74	352
175	75	352
176	75	352
177	76	351
178	76	351
179	77	351
180	77	350
181	77	350
182	78	350
183	78	349
184	79	348
185	79	348
186	80	348
187	80	347
188	80	347
189	81	346
190	81	346
191	82	346
192	82	345
193	83	345
194	83	344
195	84	344
196	84	344
197	84	344
198	85	344
199	85	343
200	86	343
201	86	343
202	87	343
203	87	342
204	88	342
205	88	341
206	89	341
207	89	341
208	90	340
209	90	340
210	90	339
211	91	339
212	91	338
213	92	338
214	92	337
215	92	336
216	93	336
217	93	335
218	93	335
219	94	334
220	94	334
221	95	333
222	95	333
223	95	332
224	96	332
225	96	331
226	97	330
227	97	330
228	97	329
229	98	329
230	98	328
231	99	327
232	99	327
233	99	326
234	100	326
235	100	326
236	101	325
237	101	325
238	102	324
239	102	324
240	102	323
241	103	323
242	103	322
243	103	322
244	104	321
245	104	320
246	105	320
247	105	319
248	105	319
249	106	318
250	106	318
251	106	317
252	107	316
253	107	316
254	108	315
255	108	315
256	108	314
257	109	314
258	109	313
259	110	313
260	110	312
261	110	312
262	111	311
263	111	311
264	112	310
265	112	310
266	112	309
267	113	309
268	113	308
269	113	307
270	114	307
271	114	306
272	115	306
273	115	305
274	115	305
275	116	304
276	116	304
277	117	303
278	117	303
279	117	302
280	118	303
281	119	303
282	119	302
283	119	302
284	120	302
285	120	301
286	121	301
287	121	300
288	122	300
289	122	299
290	122	299
291	123	298
292	123	298
293	124	297
294	124	297
295	124	296
296	125	296
297	125	295
298	125	295
299	126	294
300	126	294
301	127	294
302	127	293
303	128	293
304	128	292
305	128	292
306	129	291
307	129	291
308	130	290
309	130	290
310	130	289
311	131	289
312	131	289
313	132	288
314	132	288
315	132	287
316	133	287
317	133	286
318	134	286
319	134	286
320	135	285
321	135	285
322	135	285
323	136	284
324	136	284
325	137	283
326	137	283
327	138	282
328	138	282
329	138	282
330	139	281
331	139	281
332	140	280
333	140	280
334	140	279
335	141	279
336	141	278
337	142	278
338	142	277
339	142	277
340	143	276
341	143	276
342	143	275
343	144	275
344	144	274
345	145	274
346	145	273
347	145	273
348	146	273
349	146	272
350	147	272
351	147	272
352	148	271
353	148	271
354	149	271
355	149	270
356	150	270
357	150	270
358	150	269
359	151	269
360	151	268
361	152	268
362	152	267
363	153	267
364	153	267
365	153	266
366	154	266
367	154	265
368	155	265
369	155	264
370	155	264
371	156	263
372	156	263
373	156	262
374	157	262
375	157	261
376	158	261
377	158	260
378	158	260
379	159	259
380	159	259
381	160	259
382	160	258
383	161	258
384	161	258
385	162	258
386	162	257
387	163	257
388	163	256
389	163	256
390	164	255
391	164	255
392	165	254
393	165	254
394	165	254
395	166	253
396	166	253
397	167	252
398	167	252
399	167	251
400	168	251
401	168	250
402	168	250
403	169	249
404	169	249
405	170	248
406	170	248
407	170	247
408	171	247
409	171	246
410	171	246
411	172	245
412	172	245
413	173	245
414	173	244
415	173	244
416	174	243
417	174	243
418	175	242
419	175	242
420	175	242
421	176	241
422	176	241
423	177	240
424	177	240
425	178	239
426	178	239
427	178	239
428	179	238
429	179	238
430	180	237
431	180	237
432	180	236
433	181	236
434	181	235
435	181	235
436	182	234
437	182	234
438	183	234
439	183	233
440	183	233
441	184	232
442	184	232
443	185	231
444	185	231
445	185	230
446	186	230
447	186	229
448	186	229
449	187	228
450	187	228
451	188	227
452	188	227
453	188	227
454	189	226
455	189	226
456	189	225
457	190	225
458	190	224
459	191	224
460	191	224
461	192	223
462	192	223
463	193	222
464	193	222
465	193	222
466	194	221
467	194	221
468	194	220
469	195	220
470	195	219
471	196	219
472	196	218
473	196	218
474	197	218
475	197	217
476	198	217
477	198	216
